Production,dayOfYear,month_number,Hour,hour_sinhalf
8534.0,29,1,3,0.39840108984624145
8391.0,29,1,4,0.5195839500354336
8207.0,29,1,5,0.6310879443260529
7798.0,29,1,6,0.730835964278124
7823.0,29,1,7,0.816969893010442
7574.0,29,1,8,0.8878852184023752
7338.0,29,1,9,0.9422609221188204
6923.0,29,1,10,0.9790840876823229
6824.0,29,1,11,0.9976687691905392
7082.0,29,1,12,0.9976687691905392
7332.0,29,1,13,0.9790840876823229
7130.0,29,1,14,0.9422609221188205
6105.0,29,1,15,0.8878852184023752
4680.0,29,1,16,0.8169698930104421
3814.0,29,1,17,0.7308359642781239
3827.0,29,1,18,0.631087944326053
4316.0,29,1,19,0.5195839500354339
4856.0,29,1,20,0.3984010898462414
5343.0,29,1,21,0.2697967711570243
5642.0,29,1,22,0.1361666490962471
5534.0,29,1,23,1.2246467991473532e-16
5372.0,30,1,0,0.0
5678.0,30,1,1,0.1361666490962466
5952.0,30,1,2,0.2697967711570243
6119.0,30,1,3,0.39840108984624145
6320.0,30,1,4,0.5195839500354336
6338.0,30,1,5,0.6310879443260529
