Source,Production,dayOfYear,month_number,Hour,month_sinhalf,hour_sinhalf
0,448.0,8,1,16,-0.8660254037844385,0.8169698930104421
0,38.0,8,1,17,-0.9659258262890683,0.7308359642781239
1,2741.0,8,1,17,-0.9659258262890683,0.7308359642781239
0,1.0,8,1,18,-1.0,0.631087944326053
1,2786.0,8,1,18,-1.0,0.631087944326053
1,3112.0,8,1,19,-0.9659258262890684,0.5195839500354339
0,0.0,8,1,19,-0.9659258262890684,0.5195839500354339
1,3555.0,8,1,20,-0.8660254037844386,0.3984010898462414
0,0.0,8,1,20,-0.8660254037844386,0.3984010898462414
1,4275.0,8,1,21,-0.7071067811865477,0.2697967711570243
0,0.0,8,1,21,-0.7071067811865477,0.2697967711570243
0,0.0,8,1,22,-0.5000000000000004,0.1361666490962471
1,4924.0,8,1,22,-0.5000000000000004,0.1361666490962471
1,5657.0,8,1,23,-0.25881904510252157,1.2246467991473532e-16
0,0.0,8,1,23,-0.25881904510252157,1.2246467991473532e-16
1,6286.0,9,1,0,0.0,0.0
0,0.0,9,1,0,0.0,0.0
1,6793.0,9,1,1,0.25881904510252074,0.1361666490962466
0,0.0,9,1,1,0.25881904510252074,0.1361666490962466
1,7248.0,9,1,2,0.49999999999999994,0.2697967711570243
0,0.0,9,1,2,0.49999999999999994,0.2697967711570243
1,8044.0,9,1,3,0.7071067811865476,0.39840108984624145
0,0.0,9,1,3,0.7071067811865476,0.39840108984624145
1,8778.0,9,1,4,0.8660254037844386,0.5195839500354336
0,0.0,9,1,4,0.8660254037844386,0.5195839500354336
1,9291.0,9,1,5,0.9659258262890683,0.6310879443260529
0,4.0,9,1,5,0.9659258262890683,0.6310879443260529
1,9538.0,9,1,6,1.0,0.730835964278124
0,0.0,9,1,6,1.0,0.730835964278124
1,9902.0,9,1,7,0.9659258262890683,0.816969893010442
0,0.0,9,1,7,0.9659258262890683,0.816969893010442
1,10181.0,9,1,8,0.8660254037844387,0.8878852184023752
0,34.0,9,1,8,0.8660254037844387,0.8878852184023752
1,10308.0,9,1,9,0.7071067811865476,0.9422609221188204
0,411.0,9,1,9,0.7071067811865476,0.9422609221188204
0,1041.0,9,1,10,0.49999999999999994,0.9790840876823229
1,10286.0,9,1,10,0.49999999999999994,0.9790840876823229
1,10329.0,9,1,11,0.258819045102521,0.9976687691905392
0,1651.0,9,1,11,0.258819045102521,0.9976687691905392
1,10330.0,9,1,12,1.2246467991473532e-16,0.9976687691905392
0,1978.0,9,1,12,1.2246467991473532e-16,0.9976687691905392
1,10074.0,9,1,13,-0.2588190451025208,0.9790840876823229
0,1955.0,9,1,13,-0.2588190451025208,0.9790840876823229
1,9824.0,9,1,14,-0.4999999999999997,0.9422609221188205
0,1610.0,9,1,14,-0.4999999999999997,0.9422609221188205
1,9837.0,9,1,15,-0.7071067811865471,0.8878852184023752
0,1048.0,9,1,15,-0.7071067811865471,0.8878852184023752
1,10111.0,9,1,16,-0.8660254037844385,0.8169698930104421
0,325.0,9,1,16,-0.8660254037844385,0.8169698930104421
1,10410.0,9,1,17,-0.9659258262890683,0.7308359642781239
0,21.0,9,1,17,-0.9659258262890683,0.7308359642781239
1,10757.0,9,1,18,-1.0,0.631087944326053
0,4.0,9,1,18,-1.0,0.631087944326053
1,11187.0,9,1,19,-0.9659258262890684,0.5195839500354339
0,2.0,9,1,19,-0.9659258262890684,0.5195839500354339
1,11138.0,9,1,20,-0.8660254037844386,0.3984010898462414
0,2.0,9,1,20,-0.8660254037844386,0.3984010898462414
1,10965.0,9,1,21,-0.7071067811865477,0.2697967711570243
0,2.0,9,1,21,-0.7071067811865477,0.2697967711570243
1,10422.0,9,1,22,-0.5000000000000004,0.1361666490962471
0,1.0,9,1,22,-0.5000000000000004,0.1361666490962471
1,9937.0,9,1,23,-0.25881904510252157,1.2246467991473532e-16
0,0.0,9,1,23,-0.25881904510252157,1.2246467991473532e-16
1,9681.0,10,1,0,0.0,0.0
0,0.0,10,1,0,0.0,0.0
0,0.0,10,1,1,0.25881904510252074,0.1361666490962466
1,9096.0,10,1,1,0.25881904510252074,0.1361666490962466
1,8778.0,10,1,2,0.49999999999999994,0.2697967711570243
0,0.0,10,1,2,0.49999999999999994,0.2697967711570243
1,8477.0,10,1,3,0.7071067811865476,0.39840108984624145
0,0.0,10,1,3,0.7071067811865476,0.39840108984624145
0,0.0,10,1,4,0.8660254037844386,0.5195839500354336
1,8138.0,10,1,4,0.8660254037844386,0.5195839500354336
1,7804.0,10,1,5,0.9659258262890683,0.6310879443260529
0,0.0,10,1,5,0.9659258262890683,0.6310879443260529
0,0.0,10,1,6,1.0,0.730835964278124
1,7567.0,10,1,6,1.0,0.730835964278124
1,7552.0,10,1,7,0.9659258262890683,0.816969893010442
0,0.0,10,1,7,0.9659258262890683,0.816969893010442
1,7462.0,10,1,8,0.8660254037844387,0.8878852184023752
0,6.0,10,1,8,0.8660254037844387,0.8878852184023752
0,156.0,10,1,9,0.7071067811865476,0.9422609221188204
1,6647.0,10,1,9,0.7071067811865476,0.9422609221188204
0,535.0,10,1,10,0.49999999999999994,0.9790840876823229
1,5883.0,10,1,10,0.49999999999999994,0.9790840876823229
0,970.0,10,1,11,0.258819045102521,0.9976687691905392
1,5599.0,10,1,11,0.258819045102521,0.9976687691905392
